Français,Hiragana,Kanji
enseignant,きょうし,教師
étudiant,がくせい,学生
employé d'une compagnie,かいしゃいん,会社員
employé (avec nom de compagnie),しゃいん,社員
employé de banque,ぎんこういん,銀行員
médecin,いしゃ,医者
chercheur,けんきゅうしゃ,研究者
université,だいがく,大学
hôpital,びょういん,病院
excusez-moi,しつれいですが,失礼ですが
dictionnaire,じしょ,辞書
magazine,ざっし,雑誌
journal,しんぶん,新聞
agenda,てちょう,手帳
carte de visite,めいし,名刺
souvenir,おみやげ,お土産
salle de cours,きょうしつ,教室
restaurant / cantine,しょくどう,食堂
bureau,じむしょ,事務所
salle de réunion,かいぎしつ,会議室
accueil,うけつけ,受付
salle / chambre,へや,部屋
escalier,かいだん,階段
distributeur automatique,じどうはんばいき,自動販売機
rayon (magasin),うりば,売り場
sous-sol,ちか,地下
se lever / réveiller,おきます,起きます
dormir / se coucher,ねます,寝ます
travailler,はたらきます,働きます
se reposer / prendre un congé,やすみます,休みます
étudier,べんきょうします,勉強します
se terminer / finir,おわります,終わります
bureau de poste,ゆうびんきょく,郵便局
bibliothèque,としょかん,図書館
musée,びじゅつかん,美術館
examen,しけん,試験
réunion,かいぎ,会議
avion,ひこうき,飛行機
l'année dernière,きょねん,去年
cette année,ことし
quai / voie,ばんせん,番線
omnibus,ふつう,普通
express,きゅうこう,急行
spécial express,とっきゅう,特急
thé anglais,こうちゃ,紅茶
jardin,にわ,庭
devoirs,しゅくだい,宿題
contemplation fleurs de cerisiers,おはなみ,お花見
couper / découper,きります,切ります
envoyer,おくります,送ります
donner / offrir,あげます
recevoir,もらいます
prêter / louer,かします,貸します
emprunter,かります,借ります
enseigner / apprendre,おしえます,教えます
apprendre (par quelqu'un),ならいます,習います
passer [un coup de téléphone],かけます
ciseaux,はさみ
carte de voeux du Nouvel An,ねんがじょう,年賀状
bagage,にもつ,荷物
animé / fréquenté,にぎやか
gentil / aimable,しんせつ,親切
libre (avoir du temps),ひま,暇
facile / simple,やさしい,易しい
bas,ひくい,低い
occupé / pris,いそがしい,忙しい
résidence / pension,りょう,寮
vie (quotidienne),せいかつ,生活
Non merci,けっこうです
baseball,やきゅう,野球
petite monnaie,こまかいおかね,細かいお金
mari (de quelqu'un d'autre),ごしゅじん,ご主人
(mon) mari,しゅじん,主人
femme (de quelqu'un d'autre),おくさん,奥さん
(ma) femme,つま,妻
à peu près,だいたい
divers / varié,いろいろ
pile,でんち,電池
boîte,はこ,箱
étagère,たな,棚
café / salon de thé,きっさてん,喫茶店
arrêt de bus/taxi,のりば,乗り場
préfecture,けん,県
à côté / voisin,となり,隣
entre / parmi,あいだ,間
il faut / cela prend (avec argent/temps),かかります
mandarine,みかん
carte postale,はがき
enveloppe,ふうとう,封筒
frères et soeurs,きょうだい,兄弟
étudiant étranger,りゅうがくせい,留学生
par bateau,ふなびん,船便
par avion,こうくうびん,航空便
saison,きせつ,季節
printemps,はる,春
automne,あき,秋
arrangement floral,いけばな,生け花
érable,もみじ,紅葉
s'amuser / jouer,あそびます,遊びます
nager,およぎます,泳ぎます
accueillir / aller chercher,むかえます,迎えます
beaux-arts,びじゅつ,美術
pêche,つり,釣り
nouvel an,しょうがつ,正月
avoir soif,のどがかわきます
mettre en marche / allumer,つけます
éteindre,けします,消します
ouvrir,あけます,開けます
fermer,しめます,閉めます
appeler,よびます,呼びます
adresse,じゅうしょ,住所
problème,もんだい,問題
feu de route,しんごう,信号
monnaie,おつり,お釣り
poser,おきます,置きます
faire de la recherche,けんきゅうします,研究します
document,しりょう,資料
horaire,じこくひょう,時刻表
produit,せいひん,製品
économie,けいざい,経済
mairie,しやくしょ,市役所
dentiste,はいしゃ,歯医者
célibataire,どくしん,独身
changer (de train),のりかえます,乗り換えます
visiter un lieu pour études,けんがくします,見学します
temple bouddhiste,てら,寺
temple shinto,じんじゃ,神社
code secret,あんしょうばんごう,暗証番号
montant/somme d'argent,きんがく,金額
confirmation,かくにん,確認
perdre,なくします
rendre / rembourser,かえします,返します
enlever (chaussures/vêtement),ぬぎます,脱ぎます
faire un voyage d'affaires,しゅっちょうします,出張します
défense de fumer,きんえん,禁煙
carte de sécurité sociale,ほけんしょう,保険証
fièvre,ねつ,熱
veste,うわぎ,上着
sous-vêtement,したぎ,下着
collectionner / ramasser,あつめます,集めます
changer / échanger,かえます,換えます
